Origin Time:2025/01/21 00:17:27
Lon:120.57¢XE
Lat:23.23¢XN
Depth:9.7km
Mag:6.4
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   5.54,BAZ=255.17,PGA(V)= 493.40,PGA(NS)= 892.15,PGA(EW)=2104.96,PGV(V)=   8.93,PGV(NS)=  30.98,PGV(EW)=  72.95,Int= 6®z,PGA(SUM)=2057.49,PGV(SUM)=  79.10
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  74.17,BAZ=272.76,PGA(V)=  14.85,PGA(NS)=  50.26,PGA(EW)=  62.83,PGV(V)=   1.27,PGV(NS)=   3.09,PGV(EW)=   2.82,Int= 4¯Å,PGA(SUM)=  65.08,PGV(SUM)=   3.19
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  75.50,BAZ=157.69,PGA(V)=  21.66,PGA(NS)=  54.02,PGA(EW)=  46.12,PGV(V)=   1.10,PGV(NS)=   2.98,PGV(EW)=   2.50,Int= 4¯Å,PGA(SUM)=  55.43,PGV(SUM)=   3.08
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  75.72,BAZ=188.54,PGA(V)=  32.48,PGA(NS)=  21.92,PGA(EW)=  20.99,PGV(V)=   1.01,PGV(NS)=   1.20,PGV(EW)=   1.55,Int= 4¯Å,PGA(SUM)=  29.38,PGV(SUM)=   1.78
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  76.91,BAZ=165.25,PGA(V)=  96.49,PGA(NS)= 164.99,PGA(EW)= 108.79,PGV(V)=   2.79,PGV(NS)=   6.29,PGV(EW)=   4.76,Int= 4¯Å,PGA(SUM)= 164.92,PGV(SUM)=   6.37
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  77.70,BAZ=260.47,PGA(V)=   8.55,PGA(NS)=  15.33,PGA(EW)=  14.40,PGV(V)=   0.80,PGV(NS)=   1.41,PGV(EW)=   1.25,Int= 3¯Å,PGA(SUM)=  20.75,PGV(SUM)=   1.54
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  79.87,BAZ=205.61,PGA(V)=   9.45,PGA(NS)=  21.45,PGA(EW)=  18.16,PGV(V)=   0.80,PGV(NS)=   2.40,PGV(EW)=   1.93,Int= 3¯Å,PGA(SUM)=  22.86,PGV(SUM)=   2.66
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  80.04,BAZ=311.49,PGA(V)=  11.78,PGA(NS)=  23.00,PGA(EW)=  21.15,PGV(V)=   1.69,PGV(NS)=   3.29,PGV(EW)=   2.57,Int= 4¯Å,PGA(SUM)=  25.21,PGV(SUM)=   3.98
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  80.45,BAZ=290.85,PGA(V)=   8.84,PGA(NS)=  21.63,PGA(EW)=  26.76,PGV(V)=   0.96,PGV(NS)=   1.53,PGV(EW)=   1.43,Int= 4¯Å,PGA(SUM)=  29.41,PGV(SUM)=   2.03
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  80.67,BAZ=202.29,PGA(V)=   5.55,PGA(NS)=   9.70,PGA(EW)=  12.22,PGV(V)=   0.40,PGV(NS)=   0.66,PGV(EW)=   0.78,Int= 3¯Å,PGA(SUM)=  14.51,PGV(SUM)=   0.79
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  80.80,BAZ=180.72,PGA(V)=  22.96,PGA(NS)=  32.53,PGA(EW)=  29.50,PGV(V)=   0.91,PGV(NS)=   1.68,PGV(EW)=   1.68,Int= 4¯Å,PGA(SUM)=  34.83,PGV(SUM)=   1.88
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  81.02,BAZ=330.27,PGA(V)=   7.10,PGA(NS)=   7.83,PGA(EW)=   8.79,PGV(V)=   0.52,PGV(NS)=   0.58,PGV(EW)=   1.04,Int= 3¯Å,PGA(SUM)=   9.63,PGV(SUM)=   1.05
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  82.78,BAZ=  0.13,PGA(V)=   6.16,PGA(NS)=  12.54,PGA(EW)=  15.69,PGV(V)=   0.83,PGV(NS)=   2.15,PGV(EW)=   1.95,Int= 3¯Å,PGA(SUM)=  16.38,PGV(SUM)=   2.38
